,track_id,artists,track_name
3327,3W81HHbWbgd76fOpm9XMEm,Project AER;v i v,Words of Warmth
43294,35AjdNPiigOrPDFVWRVJxN,Electroqute,Pileh
43494,5f3Be6jvptHmlKPk8AdLaz,Crows in the Rain,A Scintilla Of Hope
9421,1YHZqTLX1GMcNpoTWqKxlF,Romanthony;Supernova,What $ Love - Supernova Remix
9583,4D6NNrHLQKtSF0F2Q6JC9L,Paul Johnson,Get Get Down - Original Mix
18025,0icv4gluNHSaxT29oULS26,Delano Smith,In Limbo
9477,4w9kTOwILhtmSZqYRIeq68,Cajmere;Sounfx,Move Yo Body - Original Mix
9469,2shUA7d9GK6bxl7obFGEKM,Cajmere;Jamie Jones,Masterplans - Original Mix
18004,1JMh3pgZfqoFRreK3EZXsw,Terrence Parker;Merachka,Open Up Your Spirit (feat. Merachka) - TP's Deeep Detroit Heat Remix
18003,3fOaW3trYfiqyexH3gGuUK,Terrence Parker;Cevin Fisher,Saved Forever (C2 Mix) / The Way We Used To (Accapella) - Mixed
9457,3mFc0XG8xM8ZZs7yJMDLdJ,"Farley ""Jackmaster"" Funk",Jack the Bass (Jack the Dick)
17998,5keC7PW5vU3WmM0Z6DQsK8,Terrence Parker;Coco Street,Hiding In Your Love (feat. Coco Street) - TP's Deep Dancin Dub Mix
17996,5feTqYV1ocPN7Szk3b7Y2W,Terrence Parker;Merachka;Michele Chiavarini,Just Like Muzik - Michele Chiavarini Remix
9451,2FDeIUEsma6s8jL1kmQigf,Jesse Saunders;Tasha LaRae;Carla Prather;Kathy Brown;Cassandra Lucas;DJ Spen;Reelsoul,We Are Family - DJ Spen & Reelsoul Remix
9448,7vKeVoqz5NgKGd050SssBt,"Steve ""Silk"" Hurley;Immaculate Styles;Lisa Shaw",I Wanna Let You Know (S&S Remixes) - Steve Silk Hurley S&S Epic Orchestration Edit
2143,18lSBq4bUQg32GeQ8gIu1e,Shinedown,Planet Zero
14389,0k6z8HqAcMml6UUnPwPNVF,Ava Max,Maybe You're the Problem
9446,3atewRgbdax7B0MOSKVzZq,Maurice Joshua;Chantay Savage,I Gotta Hold On U - Maurice Joshua Original Mix
18027,2ApTFRFiAzFTbcHbi1QNm5,Delano Smith,The Rock (Version)
17991,2QooC06U8ndWFgotAOEp5a,Terrence Parker,Cala Luna
9508,03raFMJnn6nfcLiEr2bD5G,"Farley ""Jackmaster"" Funk",Farley Knows House
9509,3uRPZy0nl1REaAtXUvtYQg,Joe Smooth,He's All I Need
9437,3xLtrBuptxKDFww9lND5Dc,Marshall Jefferson;Full Intention;Sleezy D,Do You Believe - Original Mix
9435,1fCaty5vp56Fnke1U2a4Yi,Liz Torres,Your Love Is All I Need - Original Mix
17984,1PbWcL0h8jVvLDsxKsg6EP,Kenny Larkin,Butterflies
17982,4mPINKToxoh2F9ALkYt2VG,Aril Brikha;Deetron,Groove La Chord - Deetron Remix
9434,63kOT4bBLlm1hzgPDfdHeC,Cajmere,Percolator - Keep Movin' Mix
9433,27NUGOGNJszcIRoeKRGqdB,Sterling Void;ferKKo,It's Alright 2019 - Radio Mix
9430,0BAyTCUxqILTsEygX8DIpU,Mr. Lee,Acid Pump Up London
9428,6ESRaxcp7REupnmyNYnJw0,"Fast Eddie;Steve ""Silk"" Hurley",Chicago House Scene - Freaky Mix Silk Extended Edit
17976,3kQ2qNhXuFyqcmpn7Hibyc,Kenny Larkin,Doppler
9425,3ivqKUVu6uZX6JQvGnaGAR,Fast Eddie;20 Fingers,Doggy Style - 20 Fingers Mix
17990,2rtV5mz0c0CGZ5reUW477A,Theo Parrish,Dance of the Drunken Drums
18028,0Ia2odZAF1Rd6pSxkYnLwe,Delano Smith,Trying Times
18029,5yhm1sjBdHeIj9szPpl11R,Robert Hood,Mirror Man - Mixed
9485,1zVu5DgvGQCK9pW8Xj1Oie,Steve Poindexter;Armando,Blackholes - The Sun Of God Remix
18094,6TlQnLdIYdwe07SHkTkjNQ,Inner City,My Heart's Not Here With You
18085,3StN3kREmFZUA7yIFI07HW,Inner City,House Fever - Duane Bradley Remix
18083,4V5XcLOKifzmpFvyNbTq6i,Inner City;Carl Craig,Good Life - Inner City Edit of Carl Craig Extended Remix
